CARD_ID(카드번호),USER_TYPE(사용자구분코드),COMPANY_ID(발행사ID),GETON_DATETIME(승차일시),GETON_STATION_ID(승차역ID),GETOFF_DATETIME(하차일시),GETOFF_STATION_ID(하차역ID),DISTANCE(이용거리)
D**************9,ㅜㅜ,C900008,201803310000,235,201803312359,0334,999999
D**************7,아픔,C900008,201803310000,422,201803312359,0216,999999
D**************D,12,C900008,201803310000,158,201803312359,2757,999999
D**************0,11,C900001,201803310000,240,201803312359,0329,999999
D**************0,21,C900001,201803310000,238,201803312359,2522,999999
D**************5,12,C900008,201803310000,2622,201803312359,2534,999999
D**************4,12,C900008,201803310000,217,201803312359,0329,999999
D**************E,11,C900001,201803310000,329,201803312359,0331,999999
D**************7,42,C900008,201803310000,424,201803312359,0327,999999
D**************4,11,C900001,201803310000,234,201803312359,0240,999999
D**************9,21,C900008,201803310000,2535,201803312359,0427,999999
D**************6,12,C900008,201803310000,332,201803312359,0317,999999
D**************E,21,C900008,201803310000,150,201803312359,0424,999999
D**************6,11,C900008,201803310000,2734,201803312359,2738,999999
D**************0,11,C900008,201803310000,2813,201803312359,2811,999999
D**************2,11,C900001,201803310000,416,201803312359,0201,999999
D**************5,11,C900001,201803310000,2811,201803312359,2561,999999
D**************D,11,C900008,201803310000,331,201803312359,0329,999999
D**************5,23,C900008,201803310000,2721,201803312359,2745,999999
D**************F,11,C900008,201803310000,337,201803312359,0329,999999
D**************4,12,C900008,201803310000,214,201803312359,0216,999999
D**************D,11,C900008,201803310000,339,201803312359,2545,999999
D**************6,12,C900001,201803310000,233,201803312359,0216,999999
D**************9,21,C900008,201803310000,226,201803312359,0227,999999
D**************2,11,C900008,201803310000,232,201803312359,0212,999999
D**************A,46,C900008,201803310000,418,201803312359,0239,999999
D**************8,43,C900008,201803310000,154,201803312359,2748,999999
D**************B,22,C900008,201803310000,243,201803312359,2518,999999
D**************5,21,C900008,201803310000,2733,201803312359,2544,999999
D**************1,42,C900008,201803310000,155,201803312359,0424,999999
D**************5,12,C900008,201803310000,2529,201803312359,2811,999999
D**************1,11,C900001,201803310000,2736,201803312359,2746,999999
D**************A,21,C900008,201803310000,2729,201803312359,4108,999999
D**************E,21,C900001,201803310000,2523,201803312359,2530,999999
D**************8,41,C900008,201803310000,2629,201803312359,0216,999999
D**************C,12,C900008,201803310000,4123,201803312359,0152,999999
D**************3,11,C900008,201803310000,2533,201803312359,0423,999999
D**************2,11,C900008,201803310000,2724,201803312359,0152,999999
D**************6,21,C900001,201803310000,2745,201803312359,2534,999999
D**************0,23,C900001,201803310000,2637,201803312359,0207,999999
D**************D,41,C900008,201803310000,425,201803312359,0314,999999
D**************8,12,C900001,201803310000,2761,201803312359,2759,999999
D**************1,12,C900008,201803310000,2544,201803312359,2550,999999
